Pore Size (nm),Galvanic Potential (V)
0,-4.630806426133594,0.92% Cellulose/Poly(vinyl alcohol)
6,-5.290936147041042,0.92% Cellulose/Poly(vinyl alcohol)
10,-5.411440271866016,0.92% Cellulose/Poly(vinyl alcohol)
13,-5.44029166193934,0.92% Cellulose/Poly(vinyl alcohol)
14,-5.4467860960433425,0.92% Cellulose/Poly(vinyl alcohol)
1.2847658549415408,6.501458076264891,0.02% Cellulose/Poly(vinyl alcohol)
1.9217163073871912,6.209445458493611,0.02% Cellulose/Poly(vinyl alcohol)
6.004438155648346,5.827516194714418,0.02% Cellulose/Poly(vinyl alcohol)
18.774326612901287,4.744520041764511,0.02% Cellulose/Poly(vinyl alcohol)
19.647933071449415,12.12610738659513,0.02% Cellulose/Poly(vinyl alcohol)
1,1.2909964470898516,0.56% Cellulose/Poly(vinyl alcohol)
5,5.058514763705979,0.56% Cellulose/Poly(vinyl alcohol)
13,71.42451031521387,0.56% Cellulose/Poly(vinyl alcohol)
17,-78.5095001287294,0.56% Cellulose/Poly(vinyl alcohol)
19,530.3655653339025,0.56% Cellulose/Poly(vinyl alcohol)
6.467705223393381,12.302812135741494,0.88% Cellulose/Poly(vinyl alcohol)
6.996941540174467,10.136259073796708,0.88% Cellulose/Poly(vinyl alcohol)
8.663417100833435,13.396724447833561,0.88% Cellulose/Poly(vinyl alcohol)
8.706999395563157,13.655787092960772,0.88% Cellulose/Poly(vinyl alcohol)
11.269178859612728,61.43362201365688,0.88% Cellulose/Poly(vinyl alcohol)
