Coefficient Of Thermal Expansion (1/K),Hardness (HV)
2.525606377245644,1.6545996830305274,Carbon nanofibers/Polyetherketoneketone
2.6233219643391337,1.7138209944424472,Carbon nanofibers/Polyetherketoneketone
9.75791488659076,1.307059199815018,Carbon nanofibers/Polyetherketoneketone
10.813310129413246,1.31532730477522,Carbon nanofibers/Polyetherketoneketone
11.043160350932377,1.3181351185694379,Carbon nanofibers/Polyetherketoneketone
14.709506404813922,1.2034017280088305,Carbon nanofibers/Polyetherketoneketone
2.525606377245644,2.989656978955515,Poly(acrylonitrile)/Polyetherketoneketone
2.6233219643391337,2.843500204785494,Poly(acrylonitrile)/Polyetherketoneketone
9.75791488659076,2.5337109022235462,Poly(acrylonitrile)/Polyetherketoneketone
10.813310129413246,2.5180454662027247,Poly(acrylonitrile)/Polyetherketoneketone
11.043160350932377,2.514128063803566,Poly(acrylonitrile)/Polyetherketoneketone
14.709506404813922,2.490817877220159,Poly(acrylonitrile)/Polyetherketoneketone
2.525606377245644,9.142627844260954,Copper phenylphosphate/Polyetherketoneketone
2.6233219643391337,9.498030625084015,Copper phenylphosphate/Polyetherketoneketone
9.75791488659076,10.647034689011223,Copper phenylphosphate/Polyetherketoneketone
10.813310129413246,10.54585741648091,Copper phenylphosphate/Polyetherketoneketone
11.043160350932377,6.694915416045898,Copper phenylphosphate/Polyetherketoneketone
14.709506404813922,10.772891666721776,Copper phenylphosphate/Polyetherketoneketone
2.525606377245644,7.404798103609677,SWNT/Polyetherketoneketone
2.6233219643391337,7.396286899853742,SWNT/Polyetherketoneketone
9.75791488659076,11.079086011688087,SWNT/Polyetherketoneketone
10.813310129413246,7.952698785507106,SWNT/Polyetherketoneketone
11.043160350932377,9.089971564583623,SWNT/Polyetherketoneketone
14.709506404813922,10.87446939652362,SWNT/Polyetherketoneketone
