Stirring Speed (rpm),Intrinsic Viscosity (dl/g)
0,2.360151838381488,PC
1,2.03788019752456,PC
6,1.3977277790780775,PC
11,1.255335029944391,PC
14,1.2319425795709085,PC
16,1.2254078628927845,PC
0,3.2253726671248346,PHFP
1,2.720632616831733,PHFP
6,2.1196519727798515,PHFP
11,1.981405007712937,PHFP
14,1.9594316492495956,PHFP
16,1.9528610544301725,PHFP
0,7.2569277356697315,Polylactic acid
1,7.3855104688429885,Polylactic acid
6,13.121189447434517,Polylactic acid
11,9.134642057058047,Polylactic acid
14,127.43024559834791,Polylactic acid
16,333.0196975564445,Polylactic acid
