Ion Beam Dose (Gy),Magnetic Susceptibility
4,-2.3791735751996708,SWCNTs/bisphenol-A phthalonitrile resin
6,-2.4021793611377875,SWCNTs/bisphenol-A phthalonitrile resin
10,-2.5632235871724895,SWCNTs/bisphenol-A phthalonitrile resin
18,-2.6125766206762595,SWCNTs/bisphenol-A phthalonitrile resin
4,6.559972019631511,magnesium oxide/bisphenol-A phthalonitrile resin
6,6.4861266282167875,magnesium oxide/bisphenol-A phthalonitrile resin
10,6.118976756586179,magnesium oxide/bisphenol-A phthalonitrile resin
18,5.946944490518258,magnesium oxide/bisphenol-A phthalonitrile resin
4,6.643950400120925,OAP-POSS/bisphenol-A phthalonitrile resin
6,7.489254074337608,OAP-POSS/bisphenol-A phthalonitrile resin
10,8.90144156751152,OAP-POSS/bisphenol-A phthalonitrile resin
18,9.879177238709772,OAP-POSS/bisphenol-A phthalonitrile resin
4,-2.6240779755680093,MWCNT/bisphenol-A phthalonitrile resin
6,-2.77856486987611,MWCNT/bisphenol-A phthalonitrile resin
10,-2.891637981956501,MWCNT/bisphenol-A phthalonitrile resin
18,-2.940216130563835,MWCNT/bisphenol-A phthalonitrile resin
4,7.301582310074964,Sodium titanate nanotubes/bisphenol-A phthalonitrile resin
6,7.155563763311452,Sodium titanate nanotubes/bisphenol-A phthalonitrile resin
10,7.0346502583180195,Sodium titanate nanotubes/bisphenol-A phthalonitrile resin
18,6.993695937285528,Sodium titanate nanotubes/bisphenol-A phthalonitrile resin
