Aging Time (h),Magnetization (A/m)
0.8962376129272265,4.982453499949563,silica/Poly(methyl methacrylate)
4.165475382363333,4.643273577980732,silica/Poly(methyl methacrylate)
8.858352758030467,4.420369805487969,silica/Poly(methyl methacrylate)
0.8962376129272265,4.908823009925465,Au/Poly(methyl methacrylate)
4.165475382363333,5.990210732363167,Au/Poly(methyl methacrylate)
8.858352758030467,5.017252135485197,Au/Poly(methyl methacrylate)
0.8962376129272265,7.212599784813059,multi-walled CNT/Poly(methyl methacrylate)
4.165475382363333,6.65829197839586,multi-walled CNT/Poly(methyl methacrylate)
8.858352758030467,6.439845758635253,multi-walled CNT/Poly(methyl methacrylate)
0.8962376129272265,-0.11208406425757778,Carbon black/Poly(methyl methacrylate)
4.165475382363333,1.0583967076353522,Carbon black/Poly(methyl methacrylate)
8.858352758030467,0.32895611584366424,Carbon black/Poly(methyl methacrylate)
0.8962376129272265,-0.08050405968560748,Channel black/Poly(methyl methacrylate)
4.165475382363333,4.1198731313900065,Channel black/Poly(methyl methacrylate)
8.858352758030467,18.32145424639888,Channel black/Poly(methyl methacrylate)
