Drying Time (h),Coercivity (A/m)
3.503669306686603,-5.708806074586929,PVAC
9.542532907944832,-4.231656634025214,PVAC
17.89907711672152,-9.939557441449487,PVAC
3.503669306686603,5.557606183273739,PBT
9.542532907944832,5.207237746630617,PBT
17.89907711672152,5.1546141779703145,PBT
3.503669306686603,3.575742703419774,DGEBD Epoxy Resin
9.542532907944832,3.2629474850808653,DGEBD Epoxy Resin
17.89907711672152,3.2109264062958194,DGEBD Epoxy Resin
3.503669306686603,2.607481303914297,Nylon 6
9.542532907944832,2.294004879613548,Nylon 6
17.89907711672152,2.109299174523996,Nylon 6
