Thickness (µm),Fatigue Strength (MPa)
1.4647220676243378,-3.551948509834601,Na2TiO3/Silicone rubber
2.6879015162664888,-3.770562919890453,Na2TiO3/Silicone rubber
7.185681138055631,-4.0586122012553005,Na2TiO3/Silicone rubber
9.859511487342136,-4.126548642764487,Na2TiO3/Silicone rubber
12.922675951913467,-4.234015705286421,Na2TiO3/Silicone rubber
14.15526166932879,-4.303173677916272,Na2TiO3/Silicone rubber
1.4647220676243378,-1.2146049701767176,Fe2O3/Silicone rubber
2.6879015162664888,-0.9160653569484152,Fe2O3/Silicone rubber
7.185681138055631,0.8745699244339664,Fe2O3/Silicone rubber
9.859511487342136,-0.25084545482560916,Fe2O3/Silicone rubber
12.922675951913467,1.2147393250389662,Fe2O3/Silicone rubber
14.15526166932879,-0.1318827353676344,Fe2O3/Silicone rubber
1.4647220676243378,0.06778983327459476,graphene nanoribbon/Silicone rubber
2.6879015162664888,0.10439803375340284,graphene nanoribbon/Silicone rubber
7.185681138055631,-0.15408616647412232,graphene nanoribbon/Silicone rubber
9.859511487342136,-0.26927964944821137,graphene nanoribbon/Silicone rubber
12.922675951913467,-0.3579127870550543,graphene nanoribbon/Silicone rubber
14.15526166932879,-0.401066590947197,graphene nanoribbon/Silicone rubber
1.4647220676243378,8.750815304265242,silver/Silicone rubber
2.6879015162664888,9.552912509939853,silver/Silicone rubber
7.185681138055631,9.097418096674655,silver/Silicone rubber
9.859511487342136,10.782268483796992,silver/Silicone rubber
12.922675951913467,11.541693752099818,silver/Silicone rubber
14.15526166932879,10.538386178819893,silver/Silicone rubber
