EV (V),Poisson’s Ratio
0,0.3879831023519029,Aluminium/PETP
7,-0.36918393447065184,Aluminium/PETP
8,-0.3101124662860425,Aluminium/PETP
10,-0.47556834323391417,Aluminium/PETP
11,-0.491650997820365,Aluminium/PETP
16,-0.6203480625160585,Aluminium/PETP
0,0.5172943911262182,BaTiO3/PETP
7,0.005674952557421786,BaTiO3/PETP
8,0.7784326180240193,BaTiO3/PETP
10,3.7941061361023776,BaTiO3/PETP
11,-0.05356903920127776,BaTiO3/PETP
16,5.506946823910386,BaTiO3/PETP
0,8.312824475168828,Poly(vinyl alcohol)/PETP
7,13.472123195543347,Poly(vinyl alcohol)/PETP
8,12.55629941508981,Poly(vinyl alcohol)/PETP
10,48.70055884815674,Poly(vinyl alcohol)/PETP
11,34.31512355536297,Poly(vinyl alcohol)/PETP
16,219.77203932986495,Poly(vinyl alcohol)/PETP
0,-5.007037319888416,TiO2/PETP
7,-5.919270927862939,TiO2/PETP
8,-5.9252580944218485,TiO2/PETP
10,-5.972341813474289,TiO2/PETP
11,-5.995521919328016,TiO2/PETP
16,-6.0209245166241185,TiO2/PETP
0,3.857213702558502,Barium strontium titanate/PETP
7,5.069409899665742,Barium strontium titanate/PETP
8,4.418204691871567,Barium strontium titanate/PETP
10,10.170390670993287,Barium strontium titanate/PETP
11,7.602969481612815,Barium strontium titanate/PETP
16,2.763271247615588,Barium strontium titanate/PETP
