Curing Temperature (°C),Heat Capacity (J/K)
8.421315148142188,18.967136769043744,0.13% OAPS/Polyphenylsulfone
10.856822955317904,5.691384242106057,0.13% OAPS/Polyphenylsulfone
11.162550548733998,16.458257087145846,0.13% OAPS/Polyphenylsulfone
11.979040895517873,48.408203866779175,0.13% OAPS/Polyphenylsulfone
16.93681411199089,66.37183809220367,0.13% OAPS/Polyphenylsulfone
17.05889943099698,92.34162522894923,0.13% OAPS/Polyphenylsulfone
8.421315148142188,2.3128705700235552,0.02% OAPS/Polyphenylsulfone
10.856822955317904,2.270873924355844,0.02% OAPS/Polyphenylsulfone
11.162550548733998,2.27065392195233,0.02% OAPS/Polyphenylsulfone
11.979040895517873,2.257801686246542,0.02% OAPS/Polyphenylsulfone
16.93681411199089,2.236841673435141,0.02% OAPS/Polyphenylsulfone
17.05889943099698,2.23710755696796,0.02% OAPS/Polyphenylsulfone
8.421315148142188,8.108160586776194,0.96% OAPS/Polyphenylsulfone
10.856822955317904,8.000859910930751,0.96% OAPS/Polyphenylsulfone
11.162550548733998,8.009174689781382,0.96% OAPS/Polyphenylsulfone
11.979040895517873,7.981941560042582,0.96% OAPS/Polyphenylsulfone
16.93681411199089,7.849481444275996,0.96% OAPS/Polyphenylsulfone
17.05889943099698,7.860017047659141,0.96% OAPS/Polyphenylsulfone
8.421315148142188,8.564527826680013,0.44% OAPS/Polyphenylsulfone
10.856822955317904,8.747582044804208,0.44% OAPS/Polyphenylsulfone
11.162550548733998,8.958815877786005,0.44% OAPS/Polyphenylsulfone
11.979040895517873,7.144768153819852,0.44% OAPS/Polyphenylsulfone
16.93681411199089,9.35872777922266,0.44% OAPS/Polyphenylsulfone
17.05889943099698,18.653465760005382,0.44% OAPS/Polyphenylsulfone
