Thermal Conductivity (W/(m·K)),Bet Surface Area
1,8.750707909403443,0.37% Cu(HO3PC6H5)2
4,8.254696940342756,0.37% Cu(HO3PC6H5)2
15,7.986252096568493,0.37% Cu(HO3PC6H5)2
1,6.979171143846564,0.43% Cu(HO3PC6H5)2
4,6.906135014666572,0.43% Cu(HO3PC6H5)2
15,6.423056422121983,0.43% Cu(HO3PC6H5)2
1,6.667161061943371,0.88% Cu(HO3PC6H5)2
4,6.40522324073028,0.88% Cu(HO3PC6H5)2
15,9.524800040421711,0.88% Cu(HO3PC6H5)2
1,2.096508343042157,0.07% Cu(HO3PC6H5)2
4,4.979820034211553,0.07% Cu(HO3PC6H5)2
15,236.3990411375241,0.07% Cu(HO3PC6H5)2
