Light Intensity (W/m²),Conductivity (S/m)
5,11.135275041467615,1.0% Poly(acrylonitrile)
8,14.82297061028421,1.0% Poly(acrylonitrile)
12,64.8873665017676,1.0% Poly(acrylonitrile)
14,82.20212807832807,1.0% Poly(acrylonitrile)
16,220.5144142234343,1.0% Poly(acrylonitrile)
5,-2.47949637789511,0.25% Poly(acrylonitrile)
8,-1.6309510165735506,0.25% Poly(acrylonitrile)
12,-1.3627160798480875,0.25% Poly(acrylonitrile)
14,1.8507431174149938,0.25% Poly(acrylonitrile)
16,-3.623226359212045,0.25% Poly(acrylonitrile)
5,6.697209380050871,0.59% Poly(acrylonitrile)
8,12.586585492142902,0.59% Poly(acrylonitrile)
12,53.99453443458029,0.59% Poly(acrylonitrile)
14,1.3572714049580075,0.59% Poly(acrylonitrile)
16,62.02472540309001,0.59% Poly(acrylonitrile)
5,-4.3941216221950725,0.5% Poly(acrylonitrile)
8,4.289276451422216,0.5% Poly(acrylonitrile)
12,14.249757681732229,0.5% Poly(acrylonitrile)
14,71.063562377241,0.5% Poly(acrylonitrile)
16,228.02397555037635,0.5% Poly(acrylonitrile)
