Young’s Modulus (GPa),Electrical Resistivity (Ω·m)
5,-1.8803163350213496,fumed silica/Poly(butylene terephthalate)
7,-2.000833740255933,fumed silica/Poly(butylene terephthalate)
14,-2.1078073987042982,fumed silica/Poly(butylene terephthalate)
19,-2.117991289141781,fumed silica/Poly(butylene terephthalate)
9,-0.17720920982693622,OAP-POSS/Poly(butylene terephthalate)
11,-1.7792765931864891,OAP-POSS/Poly(butylene terephthalate)
18,-5.634062134983249,OAP-POSS/Poly(butylene terephthalate)
19,-1.148384638083904,OAP-POSS/Poly(butylene terephthalate)
3,-3.172487429280752,TiO2/Poly(butylene terephthalate)
6,2.8101049623778707,TiO2/Poly(butylene terephthalate)
12,-0.8238705168877001,TiO2/Poly(butylene terephthalate)
16,32.65909227620672,TiO2/Poly(butylene terephthalate)
