Mechanical Strength (MPa),Specific Heat (J/(g·K))
0.9674027496101267,6.762696274599837,exfoliated graphene/Poly(ethylene glycol)
1.8888070071898277,6.728617696808795,exfoliated graphene/Poly(ethylene glycol)
6.292797846303031,6.328165804921044,exfoliated graphene/Poly(ethylene glycol)
6.87908825700924,6.296427334615158,exfoliated graphene/Poly(ethylene glycol)
15.887820721908703,6.183573722604361,exfoliated graphene/Poly(ethylene glycol)
0.9674027496101267,1.2021309281243675,Barium titanate/Poly(ethylene glycol)
1.8888070071898277,1.0748754278973434,Barium titanate/Poly(ethylene glycol)
6.292797846303031,0.9748184219589209,Barium titanate/Poly(ethylene glycol)
6.87908825700924,0.8419568103718222,Barium titanate/Poly(ethylene glycol)
15.887820721908703,0.617031952849994,Barium titanate/Poly(ethylene glycol)
0.9674027496101267,1.781292811125709,single-walled CNT/Poly(ethylene glycol)
1.8888070071898277,1.7335894337115954,single-walled CNT/Poly(ethylene glycol)
6.292797846303031,1.2285610756593934,single-walled CNT/Poly(ethylene glycol)
6.87908825700924,1.1934313818015916,single-walled CNT/Poly(ethylene glycol)
15.887820721908703,1.0723026742530815,single-walled CNT/Poly(ethylene glycol)
