wt%,Specific Heat (J/(g·K))
4,3.900642659687236,Alumina/Poly(ether ether ketone)
11,22.678922072356542,Alumina/Poly(ether ether ketone)
13,73.32795656841654,Alumina/Poly(ether ether ketone)
16,49.08172745182261,Alumina/Poly(ether ether ketone)
19,-85.21732398618867,Alumina/Poly(ether ether ketone)
4,-1.7275503818861957,Single-wall carbon nanotubes/Poly(ether ether ketone)
11,1.0847994249466768,Single-wall carbon nanotubes/Poly(ether ether ketone)
13,0.21979487515778695,Single-wall carbon nanotubes/Poly(ether ether ketone)
16,-3.0226195024172986,Single-wall carbon nanotubes/Poly(ether ether ketone)
19,13.869977732103557,Single-wall carbon nanotubes/Poly(ether ether ketone)
