filler labels,Zeta Potential (mV)
1.2016106634944923,-4.755256711550391,barium strontium titanate/DGEBA Epoxy Resin
4.16448382786585,-5.0478385082425845,barium strontium titanate/DGEBA Epoxy Resin
5.117113502157946,-5.021182787638512,barium strontium titanate/DGEBA Epoxy Resin
5.989168042139501,-5.14653232641445,barium strontium titanate/DGEBA Epoxy Resin
9.800222007241778,-5.289340376080005,barium strontium titanate/DGEBA Epoxy Resin
1.2016106634944923,6.666391188750222,Single-wall carbon nanotubes/DGEBA Epoxy Resin
4.16448382786585,6.199439545465761,Single-wall carbon nanotubes/DGEBA Epoxy Resin
5.117113502157946,6.116881776710069,Single-wall carbon nanotubes/DGEBA Epoxy Resin
5.989168042139501,6.065070922733434,Single-wall carbon nanotubes/DGEBA Epoxy Resin
9.800222007241778,5.973309941019109,Single-wall carbon nanotubes/DGEBA Epoxy Resin
1.2016106634944923,3.434096015419671,octyldimethylmethoxysilane/DGEBA Epoxy Resin
4.16448382786585,7.118476688699036,octyldimethylmethoxysilane/DGEBA Epoxy Resin
5.117113502157946,9.246108964906238,octyldimethylmethoxysilane/DGEBA Epoxy Resin
5.989168042139501,6.202311810866185,octyldimethylmethoxysilane/DGEBA Epoxy Resin
9.800222007241778,5.081943375813882,octyldimethylmethoxysilane/DGEBA Epoxy Resin
