Young’s Modulus (GPa),Dynamic Viscosity (Pa·s)
0,4.946325209272684,0.85% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
3,4.572432965458995,0.85% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
7,4.276273331175429,0.85% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
17,4.007015390258082,0.85% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
18,3.9998946926693124,0.85% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
0,0.6367006204280581,0.35% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
3,0.1530542517981,0.35% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
7,0.014059387419038588,0.35% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
17,-0.09571163822044794,0.35% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
18,-0.09781236744453234,0.35% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
0,-5.029365064412984,0.69% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
3,-4.83380947747793,0.69% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
7,-5.103450065767233,0.69% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
17,-5.418888251437937,0.69% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
18,-5.4452520985154464,0.69% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
0,-4.468913383475275,0.78% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
3,-4.524479088368233,0.78% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
7,-3.6513371792631153,0.78% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
17,2.4908378704098073,0.78% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
18,-0.7134885805404068,0.78% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
0,7.346992025603327,0.59% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
3,6.838941234260697,0.59% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
7,6.481499698500838,0.59% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
17,6.365413690441053,0.59% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
18,6.364029818031151,0.59% Dodecylbenzenesulfonic acid/P(VDF-TrFE-CTFE)
