Filler Content (%),Heat Of Crystallization (J/g)
7.957574141604702,9.816895457515269,PMMA-PtBA
8.942261350350032,9.735141401148262,PMMA-PtBA
9.511503081287191,9.75871503503956,PMMA-PtBA
15.241554728488836,14.632129045263877,PMMA-PtBA
7.957574141604702,14.153744859773518,PA 6T
8.942261350350032,27.913057029131636,PA 6T
9.511503081287191,40.380751778149815,PA 6T
15.241554728488836,58.728374250709145,PA 6T
7.957574141604702,-1.4681666717022726,aPP
8.942261350350032,2.251340731015187,aPP
9.511503081287191,22.993789375698316,aPP
15.241554728488836,61.84910989616476,aPP
7.957574141604702,-1.2592211288807365,PHEA
8.942261350350032,-1.2862285876947963,PHEA
9.511503081287191,-1.288216809912822,PHEA
15.241554728488836,-1.44285082202302,PHEA
