Hardness (HV),Specific Heat (J/(g·K))
5.247012378348415,5.7727116522983035,PVAC
19.256561937176546,-0.5052207715538186,PVAC
19.481595333810144,-1.3853384163718747,PVAC
5.247012378348415,0.39543107529657495,PS
19.256561937176546,-0.07777401696470587,PS
19.481595333810144,-0.08798812073052387,PS
5.247012378348415,-7.23923791020945,CAB
19.256561937176546,-7.3953807013011135,CAB
19.481595333810144,-7.395487802262726,CAB
5.247012378348415,4.61724798956274,poly-HEMA
19.256561937176546,193.125370734586,poly-HEMA
19.481595333810144,202.1053291850101,poly-HEMA
