Stress (Pa),Electronic Conductivity (S/m)
3.070900581639795,-2.3032323242297092,0.98% Paraffin oil
6.370182475808197,-2.5718370535208335,0.98% Paraffin oil
11.066452370735325,1.1491088086214853,0.98% Paraffin oil
12.010310437559514,-5.262507854195991,0.98% Paraffin oil
13.375545386128955,-0.19501175789793512,0.98% Paraffin oil
16.68299576164015,-4.878119776972751,0.98% Paraffin oil
3.070900581639795,5.6082128488465015,0.52% Paraffin oil
6.370182475808197,6.901632875443101,0.52% Paraffin oil
11.066452370735325,24.11406265384938,0.52% Paraffin oil
12.010310437559514,33.84166059600247,0.52% Paraffin oil
13.375545386128955,56.40194703254499,0.52% Paraffin oil
16.68299576164015,203.96915004978726,0.52% Paraffin oil
3.070900581639795,-1.4052314939621997,0.04% Paraffin oil
6.370182475808197,-1.5947240756831407,0.04% Paraffin oil
11.066452370735325,-1.7355622441147185,0.04% Paraffin oil
12.010310437559514,-1.789725558063777,0.04% Paraffin oil
13.375545386128955,-1.8187238690235434,0.04% Paraffin oil
16.68299576164015,-1.9156168477842028,0.04% Paraffin oil
3.070900581639795,-0.5839934603012473,0.15% Paraffin oil
6.370182475808197,0.6335838666644085,0.15% Paraffin oil
11.066452370735325,47.884838457384326,0.15% Paraffin oil
12.010310437559514,20.334118959235802,0.15% Paraffin oil
13.375545386128955,27.356699307009343,0.15% Paraffin oil
16.68299576164015,434.63228047041326,0.15% Paraffin oil
