Mechanical Strength (MPa),Compressive Modulus (GPa)
0,-1.8153181293539369,0.7% Silicon carbide/PMMA-PtBA
4,-1.3731916581771544,0.7% Silicon carbide/PMMA-PtBA
5,-1.5245024986798636,0.7% Silicon carbide/PMMA-PtBA
10,-1.216706209560035,0.7% Silicon carbide/PMMA-PtBA
0,-5.575912698631034,0.5% Silicon carbide/PMMA-PtBA
4,-6.006835242626662,0.5% Silicon carbide/PMMA-PtBA
5,-6.108197258614817,0.5% Silicon carbide/PMMA-PtBA
10,-6.25091193714741,0.5% Silicon carbide/PMMA-PtBA
0,-0.24346053896004038,0.24% Silicon carbide/PMMA-PtBA
4,1.7890533286626091,0.24% Silicon carbide/PMMA-PtBA
5,2.0382831806054753,0.24% Silicon carbide/PMMA-PtBA
10,3.6872242360203025,0.24% Silicon carbide/PMMA-PtBA
