Aspect Ratio,Saturation Magnetization (A/m)
0.15551776017270758,6.326717386021047,SAF/Poly(styrene-co-acrylonitrile)
0.9261854926033486,6.463685307589565,SAF/Poly(styrene-co-acrylonitrile)
4.538937740906521,5.924790661192723,SAF/Poly(styrene-co-acrylonitrile)
17.787146682946577,5.691600639019602,SAF/Poly(styrene-co-acrylonitrile)
18.178948367334304,5.691470313019286,SAF/Poly(styrene-co-acrylonitrile)
0.15551776017270758,-7.157794792412994,CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
0.9261854926033486,-7.156906495113955,CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
4.538937740906521,-7.38301057992275,CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
17.787146682946577,-7.786423559978466,CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
18.178948367334304,-7.784248233778264,CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
0.15551776017270758,7.454462045876468,fumed silica/Poly(styrene-co-acrylonitrile)
0.9261854926033486,7.970874845913947,fumed silica/Poly(styrene-co-acrylonitrile)
4.538937740906521,7.469062673709296,fumed silica/Poly(styrene-co-acrylonitrile)
17.787146682946577,7.016449049534351,fumed silica/Poly(styrene-co-acrylonitrile)
18.178948367334304,7.0074589756892545,fumed silica/Poly(styrene-co-acrylonitrile)
0.15551776017270758,-6.573015533933361,Channel black/Poly(styrene-co-acrylonitrile)
0.9261854926033486,-6.638003450984781,Channel black/Poly(styrene-co-acrylonitrile)
4.538937740906521,-6.0063897632247,Channel black/Poly(styrene-co-acrylonitrile)
17.787146682946577,4.258332184502551,Channel black/Poly(styrene-co-acrylonitrile)
18.178948367334304,1.9599618572687945,Channel black/Poly(styrene-co-acrylonitrile)
