Heat Treatment Time (h),Shear Strength (MPa)
1,-7.134642812008771,Polyetherketoneketone
3,-7.159220426779475,Polyetherketoneketone
6,-7.4786489396112446,Polyetherketoneketone
13,-7.705599590111783,Polyetherketoneketone
4.9975084283086035,4.501208776429556,DGEBA Epoxy Resin
10.7557343398123,4.294538805381323,DGEBA Epoxy Resin
17.95268129719119,4.259003669824475,DGEBA Epoxy Resin
19.75835508042534,4.257048973416845,DGEBA Epoxy Resin
12.993800831838652,13.520206017840806,Poly(methyl methacrylate)
15.74349648283042,7.788230195374442,Poly(methyl methacrylate)
17.42922516688568,3.4118344846902753,Poly(methyl methacrylate)
17.97339403431843,-0.026192996984431893,Poly(methyl methacrylate)
2.5765089514942185,-1.2858340766135583,PEVA
3.447527324118216,-1.418592504192653,PEVA
3.8131350386306906,-1.5074825514925951,PEVA
19.650520181041845,-1.7858754776412196,PEVA
5.240851834354084,7.132720346024651,PMMA-PnBA
5.681603661475538,7.136259718875285,PMMA-PnBA
6.000975832343007,7.116087003516436,PMMA-PnBA
8.829062643116842,7.015017847329285,PMMA-PnBA
