Curing Time (min),Specific Heat (J/(g·K))
1,-6.190862782881027,TiNT/PHFP
6,-6.187019410751157,TiNT/PHFP
11,-6.376907829929164,TiNT/PHFP
15,-6.488003072119686,TiNT/PHFP
16,-6.496574980348018,TiNT/PHFP
17,-6.524660959844568,TiNT/PHFP
18,-6.546469920546643,TiNT/PHFP
5,-5.586875489783266,Carbon black/PHFP
6,-5.6742640614183735,Carbon black/PHFP
9,-5.758407434261006,Carbon black/PHFP
12,-5.787135863919696,Carbon black/PHFP
13,-5.795641973872563,Carbon black/PHFP
18,-5.812737117649117,Carbon black/PHFP
19,-5.813857455558459,Carbon black/PHFP
0,2.7371653704694374,titania/PHFP
3,2.0952404218046476,titania/PHFP
5,1.805452328875944,titania/PHFP
8,1.7162065662477113,titania/PHFP
11,1.6506132065096433,titania/PHFP
13,1.6355438735525691,titania/PHFP
17,1.6204564379695665,titania/PHFP
3,2.698421124766477,multi-walled CNT/PHFP
4,2.3967357725119594,multi-walled CNT/PHFP
9,18.15359325678226,multi-walled CNT/PHFP
11,41.07669594279709,multi-walled CNT/PHFP
13,14.40643296398753,multi-walled CNT/PHFP
14,129.5665073964281,multi-walled CNT/PHFP
15,13.532737083147811,multi-walled CNT/PHFP
1,-5.124971836526758,MgO/PHFP
12,-5.4304087772706024,MgO/PHFP
14,-5.536609874483787,MgO/PHFP
15,-5.544048836555329,MgO/PHFP
17,-5.594738911357327,MgO/PHFP
18,-5.611145292260138,MgO/PHFP
19,-5.621684055376544,MgO/PHFP
