Volume Fraction (%),Decomposition Temperature (°C)
9.76893467703146,-4.142796425453149,Poly(vinyl chloride)
11.218460092435954,-4.158841438988446,Poly(vinyl chloride)
15.912657907466858,-4.183679538744339,Poly(vinyl chloride)
16.8594736760571,-4.186152633617414,Poly(vinyl chloride)
9.76893467703146,0.09823693631590302,Poly(acrylamide)
11.218460092435954,-0.4299301106266271,Poly(acrylamide)
15.912657907466858,0.4120135181716664,Poly(acrylamide)
16.8594736760571,1.0687779703030396,Poly(acrylamide)
9.76893467703146,12.840332311755088,Poly(benzoxazine)
11.218460092435954,44.105603497043134,Poly(benzoxazine)
15.912657907466858,52.24340116754412,Poly(benzoxazine)
16.8594736760571,118.32594102638748,Poly(benzoxazine)
