Volume Fraction (%),Thermal Conductivity (W/(m·K))
1.6841527339946438,6.3416851968610155,Barium Titanate/P(Baph)
3.79284559619826,5.8129406814627655,Barium Titanate/P(Baph)
5.256058830306154,5.733364442529342,Barium Titanate/P(Baph)
9.717344631532892,5.568111708573981,Barium Titanate/P(Baph)
12.991199717502457,5.5357722830972795,Barium Titanate/P(Baph)
14.314120658467859,5.526894927531298,Barium Titanate/P(Baph)
1.6841527339946438,5.471161796191713,CCTO ceramics/P(Baph)
3.79284559619826,6.0322164959163,CCTO ceramics/P(Baph)
5.256058830306154,6.352555268229765,CCTO ceramics/P(Baph)
9.717344631532892,6.708890276855851,CCTO ceramics/P(Baph)
12.991199717502457,4.780857410752846,CCTO ceramics/P(Baph)
14.314120658467859,8.681048074296159,CCTO ceramics/P(Baph)
1.6841527339946438,-2.739281853059358,carbon nanotube/P(Baph)
3.79284559619826,-0.10665774544562545,carbon nanotube/P(Baph)
5.256058830306154,1.637091602630937,carbon nanotube/P(Baph)
9.717344631532892,-1.114431816647203,carbon nanotube/P(Baph)
12.991199717502457,106.03024078142897,carbon nanotube/P(Baph)
14.314120658467859,89.27118922775128,carbon nanotube/P(Baph)
