Particle Density,Dielectric Loss
1,-2.138595624671253,PC
12,-1.3251502040807468,PC
18,1.8014451906203437,PC
1,-3.3683465729796405,Bisphenol E cyanate ester resin
12,49.13134839671861,Bisphenol E cyanate ester resin
18,-37.470676943737104,Bisphenol E cyanate ester resin
1,6.926049931745412,Polyurethane
12,6.473473584906534,Polyurethane
18,6.344876302083415,Polyurethane
1,2.6266637021769084,TGDDM
12,1.771546771008047,TGDDM
18,1.6528791319822727,TGDDM
1,-4.210584646956026,P4VP
12,50.99113936566986,P4VP
18,22.725936139741286,P4VP
