Shear Rate (1/s),Kinematic Viscosity (mm²/s)
9,3.710796509279868,Synthetic fluorine mica/PA 6(3)T
10,5.461213245438945,Synthetic fluorine mica/PA 6(3)T
16,-3.346429547203913,Synthetic fluorine mica/PA 6(3)T
19,-11.733977304229743,Synthetic fluorine mica/PA 6(3)T
9,7.281472328143273,Molybdenum Disulphide/PA 6(3)T
10,7.2592373232491525,Molybdenum Disulphide/PA 6(3)T
16,7.222146778857772,Molybdenum Disulphide/PA 6(3)T
19,7.217547415918091,Molybdenum Disulphide/PA 6(3)T
9,-5.3720781849398165,Acetylene black/PA 6(3)T
10,-5.439847817268481,Acetylene black/PA 6(3)T
16,-5.614561255511622,Acetylene black/PA 6(3)T
19,-5.659073320654133,Acetylene black/PA 6(3)T
9,-4.712469157445195,Carbon Black/PA 6(3)T
10,-4.746298196882731,Carbon Black/PA 6(3)T
16,-4.929173245646624,Carbon Black/PA 6(3)T
19,-4.970385791335583,Carbon Black/PA 6(3)T
9,-6.433578820009931,silver hexafluoroantimonate/PA 6(3)T
10,-6.414542026019468,silver hexafluoroantimonate/PA 6(3)T
16,-6.603125353704057,silver hexafluoroantimonate/PA 6(3)T
19,-6.67050246351139,silver hexafluoroantimonate/PA 6(3)T
