Pore Volume (cm³/g),Particle Size Distribution
4,-5.957335125059682,9-Anthracenemethanol/PnBA
6,-6.072957053179782,9-Anthracenemethanol/PnBA
12,-6.309996069175177,9-Anthracenemethanol/PnBA
19,-6.431346514506514,9-Anthracenemethanol/PnBA
4,-6.897509560254263,sodium montmorillonite/PnBA
6,-7.040360906597833,sodium montmorillonite/PnBA
12,-7.326212006847464,sodium montmorillonite/PnBA
19,-7.451038760008458,sodium montmorillonite/PnBA
4,5.6901347161372735,MMT/PnBA
6,6.635715536482932,MMT/PnBA
12,7.552328755615848,MMT/PnBA
19,8.702916911760397,MMT/PnBA
4,-3.536955275628042,MWCNTs/PnBA
6,-3.6978097377750285,MWCNTs/PnBA
12,-3.7977836979315267,MWCNTs/PnBA
19,-3.821815648572481,MWCNTs/PnBA
