Holding Time (min),Surface Area (m²/g)
4.646935172135809,7.604814671307457,9-anthracenemethanol/Nylon 6T
7.796705886980253,7.501228199750815,9-anthracenemethanol/Nylon 6T
10.253856349601076,7.425636050813487,9-anthracenemethanol/Nylon 6T
13.732315713926607,7.307416131333608,9-anthracenemethanol/Nylon 6T
4.646935172135809,1.6005530080174681,TiO2/Nylon 6T
7.796705886980253,-2.834647672958029,TiO2/Nylon 6T
10.253856349601076,28.728828546638812,TiO2/Nylon 6T
13.732315713926607,90.25273410479512,TiO2/Nylon 6T
4.646935172135809,-5.700422544703156,CCTO ceramics/Nylon 6T
7.796705886980253,-4.666112003759407,CCTO ceramics/Nylon 6T
10.253856349601076,-4.50712799403537,CCTO ceramics/Nylon 6T
13.732315713926607,-3.168890956259057,CCTO ceramics/Nylon 6T
4.646935172135809,-4.844381843882208,Fluorine mica/Nylon 6T
7.796705886980253,-4.922266722107005,Fluorine mica/Nylon 6T
10.253856349601076,-4.973007396948711,Fluorine mica/Nylon 6T
13.732315713926607,-5.004963399616401,Fluorine mica/Nylon 6T
