Calcination Temperature (°C),Thermal Conductivity (W/(m·K))
2,-2.290117414440535,0.81% montmorillonite K-10/DGEBA Epoxy Resin
4,-2.596454127193109,0.81% montmorillonite K-10/DGEBA Epoxy Resin
5,-2.4787428502258084,0.81% montmorillonite K-10/DGEBA Epoxy Resin
16,-2.9356608822673036,0.81% montmorillonite K-10/DGEBA Epoxy Resin
18,-2.975433001335919,0.81% montmorillonite K-10/DGEBA Epoxy Resin
2,6.686982357901402,0.27% montmorillonite K-10/DGEBA Epoxy Resin
4,6.506636044887003,0.27% montmorillonite K-10/DGEBA Epoxy Resin
5,6.431138112591788,0.27% montmorillonite K-10/DGEBA Epoxy Resin
16,6.219177316714484,0.27% montmorillonite K-10/DGEBA Epoxy Resin
18,6.215605375815901,0.27% montmorillonite K-10/DGEBA Epoxy Resin
2,4.339444219209948,0.9% montmorillonite K-10/DGEBA Epoxy Resin
4,4.170054312997895,0.9% montmorillonite K-10/DGEBA Epoxy Resin
5,3.9232342242235383,0.9% montmorillonite K-10/DGEBA Epoxy Resin
16,9.058169293287959,0.9% montmorillonite K-10/DGEBA Epoxy Resin
18,-7.949271705609878,0.9% montmorillonite K-10/DGEBA Epoxy Resin
2,6.267072373805021,0.21% montmorillonite K-10/DGEBA Epoxy Resin
4,5.816237392578999,0.21% montmorillonite K-10/DGEBA Epoxy Resin
5,5.923299705533066,0.21% montmorillonite K-10/DGEBA Epoxy Resin
16,5.7043309533080775,0.21% montmorillonite K-10/DGEBA Epoxy Resin
18,5.700804381197249,0.21% montmorillonite K-10/DGEBA Epoxy Resin
