Decomposition Temperature (°C),Magnetoresistance
1.196818257644865,0.004573283040658627,0.93% graphene/PA 6(3)T
5.928126628562465,-0.6011304978246362,0.93% graphene/PA 6(3)T
16.080029545716997,-0.7408035192358754,0.93% graphene/PA 6(3)T
1.196818257644865,-1.2412639986652771,0.76% graphene/PA 6(3)T
5.928126628562465,4.0811552654660295,0.76% graphene/PA 6(3)T
16.080029545716997,186.84198660744397,0.76% graphene/PA 6(3)T
1.196818257644865,3.048701242019298,0.68% graphene/PA 6(3)T
5.928126628562465,4.199077807308036,0.68% graphene/PA 6(3)T
16.080029545716997,0.16758077409110061,0.68% graphene/PA 6(3)T
1.196818257644865,-3.510171955449054,0.69% graphene/PA 6(3)T
5.928126628562465,-2.324048028907943,0.69% graphene/PA 6(3)T
16.080029545716997,-7.810512196373579,0.69% graphene/PA 6(3)T
