Specific Surface Area (m²/g),Crystallization Temperature (°C)
4.967921221386568,3.2641535962401518,0.48% Paraffin oil
11.375698378924394,17.391653004105372,0.48% Paraffin oil
13.561846679916961,-4.339546084082542,0.48% Paraffin oil
4.967921221386568,4.68584178132533,0.46% Paraffin oil
11.375698378924394,4.568811750874192,0.46% Paraffin oil
13.561846679916961,5.82912497946663,0.46% Paraffin oil
4.967921221386568,9.426147001275252,0.44% Paraffin oil
11.375698378924394,17.2849462889854,0.44% Paraffin oil
13.561846679916961,4.1446712526901095,0.44% Paraffin oil
4.967921221386568,-5.554817779951083,0.1% Paraffin oil
11.375698378924394,-5.900486734337068,0.1% Paraffin oil
13.561846679916961,-5.914184994576482,0.1% Paraffin oil
