Neutron Flux (n/cm²/s),Bond Strength (MPa)
5,-0.8946715418391317,PC
9,-0.939394869766143,PC
10,-1.0302497855343211,PC
18,-1.25937826730039,PC
5,0.09617861120613802,Nylon 6-6
9,1.4945636590733975,Nylon 6-6
10,3.808572918774307,Nylon 6-6
18,8.499655962374634,Nylon 6-6
5,-3.1410895032143453,Polyurethane
9,8.561782821756596,Polyurethane
10,29.66805415892572,Polyurethane
18,-233.17990372083054,Polyurethane
5,10.982368137143386,Poly(acrylonitrile)
9,20.28066169912184,Poly(acrylonitrile)
10,24.1143698851511,Poly(acrylonitrile)
18,146.23384300167703,Poly(acrylonitrile)
5,-5.328722324699031,Poly-trifluoroethylene
9,-5.217596167586172,Poly-trifluoroethylene
10,-1.7059947316412867,Poly-trifluoroethylene
18,1.2723204076375723,Poly-trifluoroethylene
