Electric Field (V/m),Remanence (A/m)
3.4044242143310033,4.384304877831587,0.87% Talcum
5.915989342054728,4.18101384081721,0.87% Talcum
5.98317684954363,4.2004953816462685,0.87% Talcum
10.30944970209581,4.056021629265179,0.87% Talcum
13.2032598394773,4.033988537573422,0.87% Talcum
16.437269263092404,4.02152580520879,0.87% Talcum
3.4044242143310033,2.517178942540607,0.55% Talcum
5.915989342054728,2.3541472902647236,0.55% Talcum
5.98317684954363,2.392470786842072,0.55% Talcum
10.30944970209581,2.175798462804403,0.55% Talcum
13.2032598394773,2.084202505325611,0.55% Talcum
16.437269263092404,2.0123806312470847,0.55% Talcum
3.4044242143310033,4.4004748583035065,0.37% Talcum
5.915989342054728,4.136329274200964,0.37% Talcum
5.98317684954363,4.132426899171072,0.37% Talcum
10.30944970209581,4.009694259094717,0.37% Talcum
13.2032598394773,3.918006521139882,0.37% Talcum
16.437269263092404,3.82940145452394,0.37% Talcum
3.4044242143310033,5.931465449886517,0.52% Talcum
5.915989342054728,3.127559126840545,0.52% Talcum
5.98317684954363,3.932837832188209,0.52% Talcum
10.30944970209581,18.036301310134277,0.52% Talcum
13.2032598394773,65.4043668629824,0.52% Talcum
16.437269263092404,89.41656343364814,0.52% Talcum
