Electric Field (V/m),Magnetization (A/m)
4.803139533844327,-5.651516812658619,0.09% Paraffinum liquidum/P(VDF-TrFE)
6.1450996860006395,-5.740485179997007,0.09% Paraffinum liquidum/P(VDF-TrFE)
16.141936544867143,-5.91464741065223,0.09% Paraffinum liquidum/P(VDF-TrFE)
4.803139533844327,4.487362423916931,0.31% Paraffinum liquidum/P(VDF-TrFE)
6.1450996860006395,5.545359931919426,0.31% Paraffinum liquidum/P(VDF-TrFE)
16.141936544867143,8.054848821876677,0.31% Paraffinum liquidum/P(VDF-TrFE)
4.803139533844327,0.2666424447005441,0.41% Paraffinum liquidum/P(VDF-TrFE)
6.1450996860006395,0.15510186514454843,0.41% Paraffinum liquidum/P(VDF-TrFE)
16.141936544867143,0.002504372138401347,0.41% Paraffinum liquidum/P(VDF-TrFE)
4.803139533844327,-2.8766671242715276,0.96% Paraffinum liquidum/P(VDF-TrFE)
6.1450996860006395,-2.918596647305806,0.96% Paraffinum liquidum/P(VDF-TrFE)
16.141936544867143,-3.3152472211690944,0.96% Paraffinum liquidum/P(VDF-TrFE)
4.803139533844327,-0.1116021875902713,0.96% Paraffinum liquidum/P(VDF-TrFE)
6.1450996860006395,-0.0963012825142906,0.96% Paraffinum liquidum/P(VDF-TrFE)
16.141936544867143,-0.5376778241937967,0.96% Paraffinum liquidum/P(VDF-TrFE)
