Curing Temperature (°C),Compression Strength (MPa)
6,-5.506143864794948,Poly(bisphenol A carbonate)
8,-5.606575986528039,Poly(bisphenol A carbonate)
9,-5.628560370988468,Poly(bisphenol A carbonate)
15,-5.6808341778055835,Poly(bisphenol A carbonate)
17,-5.6858616327609,Poly(bisphenol A carbonate)
19,-5.688434166971229,Poly(bisphenol A carbonate)
6,-6.266038976444293,PEKK
8,-5.061401146505316,PEKK
9,-6.144012553490159,PEKK
15,-6.399607672628861,PEKK
17,-0.4839253456691823,PEKK
19,-14.525476247235947,PEKK
6,-1.53208064591747,SAN
8,-1.5782726609976456,SAN
9,-1.6105336472056393,SAN
15,-1.6735848055351332,SAN
17,-1.6786365554974576,SAN
19,-1.6814128755137896,SAN
