Pore Volume (cm³/g),Polarization Resistance (Ω·m²)
1.8513671215793326,4.5572379697008705,0.67% Channel black/COC
3.844512525606676,4.462948727041008,0.67% Channel black/COC
4.947949379232128,4.247925405025919,0.67% Channel black/COC
5.046156780206495,4.273752988231612,0.67% Channel black/COC
9.43074605917824,4.118071130058078,0.67% Channel black/COC
16.503800109592945,3.9175877494835474,0.67% Channel black/COC
1.8513671215793326,2.2898583146930287,0.6% Channel black/COC
3.844512525606676,2.100524748793136,0.6% Channel black/COC
4.947949379232128,2.052440640970325,0.6% Channel black/COC
5.046156780206495,1.9542752979412732,0.6% Channel black/COC
9.43074605917824,1.847635768305291,0.6% Channel black/COC
16.503800109592945,1.7943048032871387,0.6% Channel black/COC
1.8513671215793326,6.786588193215692,0.5% Channel black/COC
3.844512525606676,8.47080665659156,0.5% Channel black/COC
4.947949379232128,11.15699704197148,0.5% Channel black/COC
5.046156780206495,7.279512066190463,0.5% Channel black/COC
9.43074605917824,22.684529890478867,0.5% Channel black/COC
16.503800109592945,342.369449178139,0.5% Channel black/COC
1.8513671215793326,-3.8953951590701443,0.06% Channel black/COC
3.844512525606676,-3.298353504544057,0.06% Channel black/COC
4.947949379232128,-2.8434720314592847,0.06% Channel black/COC
5.046156780206495,-3.136229548084989,0.06% Channel black/COC
9.43074605917824,-2.7817708916915898,0.06% Channel black/COC
16.503800109592945,-1.5398665336782171,0.06% Channel black/COC
1.8513671215793326,-5.9384363933568105,0.49% Channel black/COC
3.844512525606676,-5.981004148710673,0.49% Channel black/COC
4.947949379232128,-6.0464213558328055,0.49% Channel black/COC
5.046156780206495,-6.158687541326782,0.49% Channel black/COC
9.43074605917824,-6.288757226141559,0.49% Channel black/COC
16.503800109592945,-6.457700697186654,0.49% Channel black/COC
