Electron Beam Dose (Gy),Reduction Potential (V)
2,1.1109263760643575,Barium Titanate/Poly(butyl acrylate)
4,3.3184485350649027,Barium Titanate/Poly(butyl acrylate)
13,23.66067211977181,Barium Titanate/Poly(butyl acrylate)
16,149.1717628724621,Barium Titanate/Poly(butyl acrylate)
19,445.9032389448058,Barium Titanate/Poly(butyl acrylate)
1.5526153849973623,4.96676718067296,OFG/Poly(butyl acrylate)
7.635215593363163,4.489383721147685,OFG/Poly(butyl acrylate)
13.960281954150478,4.3122068801329085,OFG/Poly(butyl acrylate)
14.835166855179997,4.263588995378911,OFG/Poly(butyl acrylate)
15.883156023576197,4.244756383069859,OFG/Poly(butyl acrylate)
2.451718611562097,-6.11194328140788,Silver hexafluoroantimonate/Poly(butyl acrylate)
10.560592739070032,-6.536429257334794,Silver hexafluoroantimonate/Poly(butyl acrylate)
14.072725633761678,-6.5577515151012085,Silver hexafluoroantimonate/Poly(butyl acrylate)
17.690722561346785,-6.5683737698080185,Silver hexafluoroantimonate/Poly(butyl acrylate)
18.526718862032915,-6.569206187559942,Silver hexafluoroantimonate/Poly(butyl acrylate)
