Calcination Temperature (°C),Remanence (A/m)
0,7.281283449575521,PEG
1,7.2567523255488355,PEG
2,7.589770046724858,PEG
8,9.41204099558178,PEG
9,10.502424433881323,PEG
0,7.724866269882757,DGEBA Epoxy Resin
1,8.273025779550156,DGEBA Epoxy Resin
2,8.109743346088218,DGEBA Epoxy Resin
8,8.517931887524027,DGEBA Epoxy Resin
9,9.804490591848651,DGEBA Epoxy Resin
0,6.648599100694137,Poly(vinyl acetate)
1,6.5617309115036475,Poly(vinyl acetate)
2,6.312904896378624,Poly(vinyl acetate)
8,6.046059928631703,Poly(vinyl acetate)
9,6.093774003714085,Poly(vinyl acetate)
0,1.3344569451239379,PBI
1,1.5398145098069396,PBI
2,2.1534104442753206,PBI
8,10.471907848869634,PBI
9,22.853681043850347,PBI
0,3.8338119253047624,Poly(caprolactone)
1,3.8235488144438037,Poly(caprolactone)
2,3.901565265290678,Poly(caprolactone)
8,4.0453929305946055,Poly(caprolactone)
9,9.043591528101631,Poly(caprolactone)
