X-ray Dose (Gy),Flexural Strength (MPa)
0.9371082185383206,7.587634884288484,sPP
4.907471422755689,11.686654217128083,sPP
15.65339609828204,121.5868885053334,sPP
0.9371082185383206,-1.1588874890488858,Poly(acrylic acid)
4.907471422755689,-1.1790611907011084,Poly(acrylic acid)
15.65339609828204,-1.674863703090459,Poly(acrylic acid)
0.9371082185383206,6.207569811919437,Poly(4-vinyl pyridine)
4.907471422755689,5.802946618187164,Poly(4-vinyl pyridine)
15.65339609828204,5.379006543469865,Poly(4-vinyl pyridine)
0.9371082185383206,-5.730941841354437,Polychlorotrifluoroethylene
4.907471422755689,-3.6451693622768686,Polychlorotrifluoroethylene
15.65339609828204,168.9227097358677,Polychlorotrifluoroethylene
