Stress (Pa),Fracture Toughness (MPa·m^0.5)
1,-0.3469328454327403,barium titanate/Poly(caprolactone)
4,1.6305648221740463,barium titanate/Poly(caprolactone)
7,7.99677702583087,barium titanate/Poly(caprolactone)
8,9.038651062577252,barium titanate/Poly(caprolactone)
13,-31.2835127368136,barium titanate/Poly(caprolactone)
18,-130.8346989657025,barium titanate/Poly(caprolactone)
1,-7.02470610918213,Fe3O4/Poly(caprolactone)
4,-7.014959618718228,Fe3O4/Poly(caprolactone)
7,-7.189387042755014,Fe3O4/Poly(caprolactone)
8,-7.293206922032994,Fe3O4/Poly(caprolactone)
13,-7.475838600765916,Fe3O4/Poly(caprolactone)
18,-7.597986581043891,Fe3O4/Poly(caprolactone)
1,0.21048452377867044,Carbon Black/Poly(caprolactone)
4,0.7439298622571877,Carbon Black/Poly(caprolactone)
7,2.2914621196400202,Carbon Black/Poly(caprolactone)
8,3.28034510638021,Carbon Black/Poly(caprolactone)
13,3.498475037484136,Carbon Black/Poly(caprolactone)
18,20.979212468535692,Carbon Black/Poly(caprolactone)
