Particle Diameter (nm),Hardness (HV)
2.2555284309701484,-4.14930887359624,0.05% AuNPs
13.009413997352455,-4.706301174152676,0.05% AuNPs
16.190684530237977,-4.77227813201616,0.05% AuNPs
2.2555284309701484,1.0971419212364377,0.19% AuNPs
13.009413997352455,3.430507824252529,0.19% AuNPs
16.190684530237977,-5.1770916936816915,0.19% AuNPs
2.2555284309701484,-1.5669879284533017,0.83% AuNPs
13.009413997352455,-1.873382675381163,0.83% AuNPs
16.190684530237977,-1.8859697315841064,0.83% AuNPs
2.2555284309701484,2.8572716060784624,0.01% AuNPs
13.009413997352455,1.0161373774152742,0.01% AuNPs
16.190684530237977,0.2502787433927809,0.01% AuNPs
