Young’s Modulus (GPa),Thermal Diffusivity (mm²/s)
6,-0.4573995607140676,PαMS
16,-0.5858932918912108,PαMS
19,-0.590368055870961,PαMS
5.086513687028171,0.10352520375607188,COC
9.781169544788684,1.2072570934419637,COC
11.21916881766025,8.173827530109593,COC
3.8223998750422794,0.4452702778220944,Poly(alpha-methylstyrene)
7.107846288191504,0.29563236338679083,Poly(alpha-methylstyrene)
12.558193035236133,0.19651039257877553,Poly(alpha-methylstyrene)
4,2.0001881216446997,PVB
5,1.8805361584770348,PVB
7,1.7717850099661323,PVB
