Calcination Temperature (°C),Zero-shear Viscosity (Pa·s)
7,4.148513944106792,Polyimide
9,4.003346577693281,Polyimide
12,3.8940634164383034,Polyimide
18,3.7791716866625866,Polyimide
7,3.468799366654619,PTFCE
9,3.3983985374925414,PTFCE
12,3.3561456403804124,PTFCE
18,3.335108718146043,PTFCE
7,-6.6396543424784475,Poly(glycidyl methacrylate)
9,-6.839016094229999,Poly(glycidyl methacrylate)
12,-6.86866659466155,Poly(glycidyl methacrylate)
18,-7.011469423145135,Poly(glycidyl methacrylate)
7,-1.8805630329121126,Nylon 11
9,-1.9443485634791482,Nylon 11
12,-1.984217149063897,Nylon 11
18,-2.0063212295865975,Nylon 11
7,5.73089271583731,PEMA
9,3.8111467787694457,PEMA
12,9.466677266414386,PEMA
18,15.546681705744012,PEMA
