Reaction Time (h),Peel Strength (N/m)
2.3478637863689134,6.356339543194842,IMPP
6.013700934695039,6.117739769664545,IMPP
11.284283880530925,5.959925747522922,IMPP
13.362855036654892,5.861940749753766,IMPP
2.3478637863689134,-4.92402756875437,PMMA-PnBA
6.013700934695039,-4.6353095316323545,PMMA-PnBA
11.284283880530925,-0.6736462830155441,PMMA-PnBA
13.362855036654892,-1.8039927075078142,PMMA-PnBA
2.3478637863689134,6.3525953280119865,PMMA
6.013700934695039,6.838761252412699,PMMA
11.284283880530925,10.069082938973501,PMMA
13.362855036654892,6.501508867924685,PMMA
2.3478637863689134,7.483416877798879,PMMA-PnBA-PMMA
6.013700934695039,7.183911341673665,PMMA-PnBA-PMMA
11.284283880530925,6.959181636864581,PMMA-PnBA-PMMA
13.362855036654892,6.864284701518535,PMMA-PnBA-PMMA
