Heat Treatment Temperature (°C),Flexural Modulus (GPa)
3,4.8549268970835655,0.45% Sodium titanate nanotubes/Polychlorotrifluoroethylene
5,4.660555849020466,0.45% Sodium titanate nanotubes/Polychlorotrifluoroethylene
12,4.370897358819791,0.45% Sodium titanate nanotubes/Polychlorotrifluoroethylene
15,4.283083129668198,0.45% Sodium titanate nanotubes/Polychlorotrifluoroethylene
18,4.223671038126769,0.45% Sodium titanate nanotubes/Polychlorotrifluoroethylene
3,8.817517915824531,0.17% Sodium titanate nanotubes/Polychlorotrifluoroethylene
5,10.604204746831385,0.17% Sodium titanate nanotubes/Polychlorotrifluoroethylene
12,47.16235953725356,0.17% Sodium titanate nanotubes/Polychlorotrifluoroethylene
15,56.929370793785026,0.17% Sodium titanate nanotubes/Polychlorotrifluoroethylene
18,210.76534589332815,0.17% Sodium titanate nanotubes/Polychlorotrifluoroethylene
3,3.7146344117054135,0.87% Sodium titanate nanotubes/Polychlorotrifluoroethylene
5,3.8552220893291733,0.87% Sodium titanate nanotubes/Polychlorotrifluoroethylene
12,3.4894596025612863,0.87% Sodium titanate nanotubes/Polychlorotrifluoroethylene
15,3.399200802672986,0.87% Sodium titanate nanotubes/Polychlorotrifluoroethylene
18,3.3572611732222772,0.87% Sodium titanate nanotubes/Polychlorotrifluoroethylene
3,-5.530955002685913,0.32% Sodium titanate nanotubes/Polychlorotrifluoroethylene
5,-5.520450504608027,0.32% Sodium titanate nanotubes/Polychlorotrifluoroethylene
12,-5.820483114946136,0.32% Sodium titanate nanotubes/Polychlorotrifluoroethylene
15,-11.984903967136535,0.32% Sodium titanate nanotubes/Polychlorotrifluoroethylene
18,10.14266131941946,0.32% Sodium titanate nanotubes/Polychlorotrifluoroethylene
