Nanoparticle Mass (%),Reduction Potential (V)
0.12397251901696604,-4.960825818853462,PαMS
1.6590416868968316,-5.56832100738189,PαMS
10.290619914542269,-5.988281468219387,PαMS
12.075001037740813,-6.010149643967361,PαMS
0.8151755701761187,-2.896178111947202,PTFE
7.017775794675161,-3.448064973882882,PTFE
7.895005138299654,-3.5028305514732976,PTFE
12.10192495103737,-3.5550354825717383,PTFE
4.307543239511573,-2.657411341137081,PAN
8.285427117588073,19.14811572278422,PAN
8.70305547243322,-2.9634525403069496,PAN
18.251404221751145,54.45384650693469,PAN
