Elongation At Break (%),Dynamic Viscosity (Pa·s)
1,8.936211329184431,
3,8.390777093247646,
10,8.11996963403359,
15,7.942375699373123,
1,1.1167204351257745,
3,1.1216197004416584,
10,0.6283928087779275,
15,0.45599387139022424,
1,8.336414422879109,
3,7.807767544585194,
10,7.4253546721239925,
15,7.384578067964539,
1,0.036580781787251215,
3,0.8458135119341095,
10,26.82444876170834,
15,22.1386292340067,
1,2.165059027056929,
3,2.1097423642246067,
10,1.65124889475284,
15,1.5112827551281218,
