Ultrasound Power (W),Flexural Modulus (GPa)
3,7.190067725986092,0.07% silver hexafluoroantimonate/PVAC
8,9.57899556680027,0.07% silver hexafluoroantimonate/PVAC
15,12.840298546176927,0.07% silver hexafluoroantimonate/PVAC
16,12.664823336195315,0.07% silver hexafluoroantimonate/PVAC
17,6.866236995204602,0.07% silver hexafluoroantimonate/PVAC
3,7.370183677051872,0.74% silver hexafluoroantimonate/PVAC
8,7.083624619449929,0.74% silver hexafluoroantimonate/PVAC
15,6.9894169639795605,0.74% silver hexafluoroantimonate/PVAC
16,6.987313823690843,0.74% silver hexafluoroantimonate/PVAC
17,6.985466039150783,0.74% silver hexafluoroantimonate/PVAC
3,8.202786779126562,0.81% silver hexafluoroantimonate/PVAC
8,17.066309713444507,0.81% silver hexafluoroantimonate/PVAC
15,88.56271130243121,0.81% silver hexafluoroantimonate/PVAC
16,36.70156330453314,0.81% silver hexafluoroantimonate/PVAC
17,271.3034365641144,0.81% silver hexafluoroantimonate/PVAC
