Reaction Temperature (°C),Elastic Modulus (GPa)
8.226295611895187,23.387443783272047,Fluoroelastomer
14.996362195485544,155.2441223121305,Fluoroelastomer
16.206349156143457,136.40114950076384,Fluoroelastomer
8.226295611895187,2.8831730535365736,EPDM rubber
14.996362195485544,5.187356316857746,EPDM rubber
16.206349156143457,5.4646911848386575,EPDM rubber
8.226295611895187,3.8652056700705764,PBT
14.996362195485544,3.7784489829110055,PBT
16.206349156143457,3.7756455970314584,PBT
8.226295611895187,1.6498119413343328,Poly(BA-a)
14.996362195485544,10.4797419024043,Poly(BA-a)
16.206349156143457,2.511495322638178,Poly(BA-a)
8.226295611895187,-3.962561625445197,Polyamide-imide
14.996362195485544,-4.177297364826121,Polyamide-imide
16.206349156143457,-4.200667511859333,Polyamide-imide
