Frequency (Hz),Heat Of Crystallization (J/g)
5.793795602919829,7.9780915832894195,Graphene oxide/PA 8
6.851870137171998,6.462009838028319,Graphene oxide/PA 8
7.900780292399721,8.29446236740865,Graphene oxide/PA 8
12.520517773209761,74.27161021878281,Graphene oxide/PA 8
5.793795602919829,-2.3615085307215558,Channel black/PA 8
6.851870137171998,-2.353299530713631,Channel black/PA 8
7.900780292399721,-2.417873091570759,Channel black/PA 8
12.520517773209761,-2.6023140910565874,Channel black/PA 8
5.793795602919829,7.104304465920195,cellulose nanocrystals/PA 8
6.851870137171998,7.048500369026652,cellulose nanocrystals/PA 8
7.900780292399721,7.006750549588211,cellulose nanocrystals/PA 8
12.520517773209761,6.943593827185879,cellulose nanocrystals/PA 8
5.793795602919829,7.925841299338352,Silicon dioxide/PA 8
6.851870137171998,7.890299454823162,Silicon dioxide/PA 8
7.900780292399721,7.847794632305474,Silicon dioxide/PA 8
12.520517773209761,7.7887217489960445,Silicon dioxide/PA 8
5.793795602919829,-1.5157305451283698,Fullerene/PA 8
6.851870137171998,-1.56078375666604,Fullerene/PA 8
7.900780292399721,-1.6344544877896343,Fullerene/PA 8
12.520517773209761,-1.6879291661439315,Fullerene/PA 8
