Dielectric Constant,Pore Volume (cm³/g)
7,-7.4309098318452085,0.62% titanium dioxide
13,-7.520428532602707,0.62% titanium dioxide
15,-7.530302140794236,0.62% titanium dioxide
17,-7.535294805215441,0.62% titanium dioxide
19,-7.538115027082367,0.62% titanium dioxide
0.6272963921977004,-3.5321659052223158,0.56% titanium dioxide
1.9615532073349784,-3.296038854534862,0.56% titanium dioxide
8.026813310708638,-3.7479559095114476,0.56% titanium dioxide
10.746717724454966,-3.92735942989009,0.56% titanium dioxide
19.248093415403975,-4.114957424827561,0.56% titanium dioxide
