X-ray Dose (Gy),Magnetic Anisotropy (J/m³)
0.22385718225222062,4.690628280168942,
6.889381441556377,4.019347326237987,
11.003693159838893,3.7856836580862256,
13.282610121077633,3.6988097546436105,
18.846860372063418,3.6037180940421907,
1,-0.868509743243532,
4,1.644762139498542,
6,5.981253952930352,
10,29.523477994331238,
14,36.01237742700779,
1,2.255481758438195,
5,6.2253052096238175,
11,84.96245616486968,
15,12.261544515864077,
17,206.53832932627458,
0,-0.5685435196720843,
8,0.8483458549738647,
10,2.501894817791014,
12,4.834871387656361,
17,1.383530164545908,
