Reaction Time (h),Complex Viscosity (Pa·s)
0.1489513783753149,8.553016662651725,0.7% graphene/Polybutylene succinate
0.9594322552951651,8.922017634795496,0.7% graphene/Polybutylene succinate
4.142663938451731,10.460568625432533,0.7% graphene/Polybutylene succinate
4.582258984392864,12.10781297415911,0.7% graphene/Polybutylene succinate
14.95528014244413,177.6647370370958,0.7% graphene/Polybutylene succinate
17.581517687158712,563.2870091309068,0.7% graphene/Polybutylene succinate
0.1489513783753149,-0.2125593061157255,0.4% graphene/Polybutylene succinate
0.9594322552951651,-0.5079182652345376,0.4% graphene/Polybutylene succinate
4.142663938451731,-0.739989693398758,0.4% graphene/Polybutylene succinate
4.582258984392864,-0.777292821053484,0.4% graphene/Polybutylene succinate
14.95528014244413,-1.0193133599847575,0.4% graphene/Polybutylene succinate
17.581517687158712,-1.0246292500627256,0.4% graphene/Polybutylene succinate
