Magnetic Field Strength (T),Pore Size (nm)
6.211966942677161,-0.8165886717918714,0.18% exfoliated graphene
10.940275669423297,-1.1345234886113154,0.18% exfoliated graphene
15.48811217890526,-1.1999500054480114,0.18% exfoliated graphene
16.702176121917304,-1.2334291635880201,0.18% exfoliated graphene
6.211966942677161,7.081067804926162,0.28% exfoliated graphene
10.940275669423297,5.119291326734013,0.28% exfoliated graphene
15.48811217890526,0.4380807587803117,0.28% exfoliated graphene
16.702176121917304,11.376718248658122,0.28% exfoliated graphene
6.211966942677161,-0.619770963156564,0.25% exfoliated graphene
10.940275669423297,-0.8394267338704873,0.25% exfoliated graphene
15.48811217890526,-0.9926858878076105,0.25% exfoliated graphene
16.702176121917304,-0.9930980501818972,0.25% exfoliated graphene
6.211966942677161,4.943165857204102,0.56% exfoliated graphene
10.940275669423297,5.314688816625925,0.56% exfoliated graphene
15.48811217890526,9.6127669349084,0.56% exfoliated graphene
16.702176121917304,4.595432046118328,0.56% exfoliated graphene
6.211966942677161,-3.5069972562455107,0.31% exfoliated graphene
10.940275669423297,-1.7733608783886394,0.31% exfoliated graphene
15.48811217890526,2.077442486191713,0.31% exfoliated graphene
16.702176121917304,-3.0502870480706834,0.31% exfoliated graphene
