Electron Beam Dose (Gy),Pore Size (nm)
9.317227339740043,6.861389623898294,SAN
12.408367248530944,6.824988138214455,SAN
12.660234094027494,6.8248802909885224,SAN
16.109848151902323,6.8099376722711655,SAN
9.317227339740043,-3.1583105982246935,EVA
12.408367248530944,-3.2860334123265407,EVA
12.660234094027494,-3.3026611286408554,EVA
16.109848151902323,-3.3696830783513447,EVA
9.317227339740043,11.631180834111479,PVAL
12.408367248530944,26.771361254340643,PVAL
12.660234094027494,80.60933871853861,PVAL
16.109848151902323,126.00297717682601,PVAL
9.317227339740043,4.5807435290714995,BPA-Ph
12.408367248530944,7.407407438109038,BPA-Ph
12.660234094027494,5.722773319715039,BPA-Ph
16.109848151902323,4.919933419972993,BPA-Ph
9.317227339740043,-6.141620107645587,Polyphenylsulfone
12.408367248530944,-6.170600964685546,Polyphenylsulfone
12.660234094027494,-6.173869483782416,Polyphenylsulfone
16.109848151902323,-6.188876993366067,Polyphenylsulfone
