Volume Fraction (%),Loss Modulus (Pa)
8,7.614521392194708,Zirconium dioxide/ABS
10,7.516178265966565,Zirconium dioxide/ABS
15,7.421316279233361,Zirconium dioxide/ABS
8,3.945975709478919,Single-wall carbon nanotubes/ABS
10,2.4436820680504243,Single-wall carbon nanotubes/ABS
15,8.363133458675044,Single-wall carbon nanotubes/ABS
8,-3.240338857165499,Barium titanate/ABS
10,-3.2800179858850007,Barium titanate/ABS
15,-3.3157739902273264,Barium titanate/ABS
8,14.766452005060335,Polyaniline/ABS
10,3.944417268320274,Polyaniline/ABS
15,-34.751704620725185,Polyaniline/ABS
8,1.8353721365151248,SiC powder/ABS
10,1.7102603104420715,SiC powder/ABS
15,1.5633229805867963,SiC powder/ABS
