Aspect Ratio,Particle Size Distribution
2.3967469335001246,3.91431278385655,0.3% Barium Titanate
10.9025628963936,3.487420576299108,0.3% Barium Titanate
18.157601088725748,3.4493809029011415,0.3% Barium Titanate
0,6.3736393157144615,0.78% Barium Titanate
4,5.993561984419359,0.78% Barium Titanate
6,5.839858512345116,0.78% Barium Titanate
1.8815977115830118,7.648545052152415,0.57% Barium Titanate
10.404207308384748,25.80938852153067,0.57% Barium Titanate
18.37956792614084,456.10667785317537,0.57% Barium Titanate
5,5.014230971713998,0.04% Barium Titanate
10,4.842953740740905,0.04% Barium Titanate
18,4.801174792714547,0.04% Barium Titanate
