Mechanical Strength (MPa),Adhesion Strength (MPa)
1.0155482621101242,2.358027526662485,0.74% Organophilic clay/S-EB-S
3.3119417954676966,2.197040924555454,0.74% Organophilic clay/S-EB-S
7.143359137603655,2.0151990546406306,0.74% Organophilic clay/S-EB-S
10.256281298801662,1.870616826424249,0.74% Organophilic clay/S-EB-S
12.158882518780217,1.8109980254366262,0.74% Organophilic clay/S-EB-S
12.190600245723832,1.8229268611875393,0.74% Organophilic clay/S-EB-S
1.0155482621101242,3.650938624904587,0.21% Organophilic clay/S-EB-S
3.3119417954676966,3.306649836345248,0.21% Organophilic clay/S-EB-S
7.143359137603655,4.793030564847222,0.21% Organophilic clay/S-EB-S
10.256281298801662,5.088193342267767,0.21% Organophilic clay/S-EB-S
12.158882518780217,3.508956010879785,0.21% Organophilic clay/S-EB-S
12.190600245723832,8.263511074013383,0.21% Organophilic clay/S-EB-S
