Specific Surface Area (m²/g),Adhesion Strength (MPa)
3.3458566650531307,4.09106079366865,0.33% graphite nanoplatelets
12.44356332086095,3.680616586092684,0.33% graphite nanoplatelets
15.877511950638482,3.6632767912481388,0.33% graphite nanoplatelets
3.3458566650531307,2.276579424062997,0.5% graphite nanoplatelets
12.44356332086095,0.8620446314202996,0.5% graphite nanoplatelets
15.877511950638482,0.646921470063031,0.5% graphite nanoplatelets
3.3458566650531307,2.6404766442972427,0.49% graphite nanoplatelets
12.44356332086095,5.135363687883042,0.49% graphite nanoplatelets
15.877511950638482,8.556469275140808,0.49% graphite nanoplatelets
3.3458566650531307,3.6177148775748216,0.03% graphite nanoplatelets
12.44356332086095,2.3064122543515384,0.03% graphite nanoplatelets
15.877511950638482,13.580059446785242,0.03% graphite nanoplatelets
