Melting Temperature (°C),Zero-shear Viscosity (Pa·s)
0,-0.03590583938378389,VER
1,-0.46394035399451816,VER
4,-0.9017035541847923,VER
7,-1.0529577350786519,VER
12,-1.1403946588907612,VER
13,-1.1631722497344001,VER
2.416623377523943,-0.3546478371406119,PS
3.8185617209794076,0.31289587813520026,PS
11.273255735699422,3.320232451390874,PS
13.141937034729807,87.10858882840505,PS
14.681479125828162,72.96417324313222,PS
16.063728393614735,-14.294564563290264,PS
3,-2.0420435050380346,Polystyrene
4,-1.240085879803634,Polystyrene
8,-1.3792764943830091,Polystyrene
14,127.59999464540691,Polystyrene
17,70.67252193604976,Polystyrene
18,-69.14084023335663,Polystyrene
