Dispersing Time (min),Porosity (%)
3,-3.03324584305506,0.92% Barium Titanate
6,-3.2923559730063383,0.92% Barium Titanate
11,-3.5151544267749877,0.92% Barium Titanate
12,-3.525107469210143,0.92% Barium Titanate
15,-3.573141303233008,0.92% Barium Titanate
17,-3.6170070850414042,0.92% Barium Titanate
3,0.5122933588646132,0.14% Barium Titanate
6,1.8079825463702806,0.14% Barium Titanate
11,1.4708594525334453,0.14% Barium Titanate
12,-0.6579913568076154,0.14% Barium Titanate
15,-0.1836395018010677,0.14% Barium Titanate
17,2.4133659651833206,0.14% Barium Titanate
3,1.4122610152838813,0.97% Barium Titanate
6,1.3535949703710624,0.97% Barium Titanate
11,1.0912678691759707,0.97% Barium Titanate
12,1.0276725724875873,0.97% Barium Titanate
15,0.9203401545075344,0.97% Barium Titanate
17,0.9076700773949453,0.97% Barium Titanate
3,6.766796613605641,0.56% Barium Titanate
6,6.61202037063333,0.56% Barium Titanate
11,6.350650366582299,0.56% Barium Titanate
12,6.393695461186217,0.56% Barium Titanate
15,6.305911981895244,0.56% Barium Titanate
17,6.251623446932834,0.56% Barium Titanate
3,-3.7837181751828606,0.17% Barium Titanate
6,-3.997341842717413,0.17% Barium Titanate
11,-4.155517436312169,0.17% Barium Titanate
12,-4.166147016728503,0.17% Barium Titanate
15,-4.183810109284345,0.17% Barium Titanate
17,-4.189096181710138,0.17% Barium Titanate
