Aging Time (h),Heat Capacity (J/K)
5.655494905227252,7.073570583626688,0.43% fumed silica
6.1987840823559015,7.062924039806274,0.43% fumed silica
7.491070657002492,7.018494541208276,0.43% fumed silica
9.799426124329788,6.962438968954115,0.43% fumed silica
10.980870976883638,6.946492690629885,0.43% fumed silica
1.1228682403090917,6.619329256120433,0.21% fumed silica
7.184301611578285,21.039472656827876,0.21% fumed silica
11.245519206231211,55.15963173523182,0.21% fumed silica
15.150359196328715,15.50925277552121,0.21% fumed silica
16.276883043744075,107.49327625186541,0.21% fumed silica
1.3806166548773091,1.9938556459347825,0.34% fumed silica
1.6270214079657785,1.8180664735853924,0.34% fumed silica
5.237680517122851,1.4787160828828998,0.34% fumed silica
11.083210252856082,1.2952580076054272,0.34% fumed silica
16.577390644466746,1.265723187184955,0.34% fumed silica
3,4.124357217609607,0.3% fumed silica
5,5.327577670461566,0.3% fumed silica
10,27.590976894752366,0.3% fumed silica
14,40.024787570348,0.3% fumed silica
15,171.3342603422478,0.3% fumed silica
3.7373540241132464,9.138221734413687,0.9% fumed silica
7.775299737059235,9.383433409188426,0.9% fumed silica
8.834129608831184,11.959818269347984,0.9% fumed silica
9.594620941581368,9.966786279533427,0.9% fumed silica
12.126428657460025,6.7755587039173335,0.9% fumed silica
