Storage Time (days),Tan Delta
1.1459551389947942,0.9441523935919646,0.6% graphite (as received)/PMMA-PnBA-PMMA
7.120344353397552,3.51220089577432,0.6% graphite (as received)/PMMA-PnBA-PMMA
9.521845908592963,0.9158851370639125,0.6% graphite (as received)/PMMA-PnBA-PMMA
9.94157026104425,3.5024783045421612,0.6% graphite (as received)/PMMA-PnBA-PMMA
14.777579844832369,3.2757001984703873,0.6% graphite (as received)/PMMA-PnBA-PMMA
1.1459551389947942,2.259510384051967,0.93% graphite (as received)/PMMA-PnBA-PMMA
7.120344353397552,2.079635758068517,0.93% graphite (as received)/PMMA-PnBA-PMMA
9.521845908592963,2.419847975257161,0.93% graphite (as received)/PMMA-PnBA-PMMA
9.94157026104425,6.976035181685399,0.93% graphite (as received)/PMMA-PnBA-PMMA
14.777579844832369,3.352880376703331,0.93% graphite (as received)/PMMA-PnBA-PMMA
